text,label
tampilkan seluruh baris dataset,1
tampilkan semua data,1
muat semua baris,1
tampilkan seluruh isi tabel,1
lihatkan semua baris yang ada,1
tunjukan semua data dataset,1
munculkan seluruh baris,1
print semua baris data,1
tampilkan tabel secara keseluruhan,1
ambil semua data dari dataset,1
tampilkan semua rekord,1
tampilkan seluruh record,1
tampilkan isi dataset sepenuhnya,1
load semua data,1
buka semua baris dataset,1
tampilkan setiap baris yang tersedia,1
tampilkan data tanpa filter,1
tampilkan semua baris tanpa kecuali,1
tampilkan seluruh baris tabel ini,1
perlihatkan semua isi dataset,1
tampilkan data secara utuh,1
tampilkan seluruh informasi baris,1
tampilkan semua entri data,1
tampilkan data lengkap,1
tampilkan dataset utuh,1
tampilkan semua list data,1
tampilkan baris pertama sampai terakhir,1
tampilkan dari awal sampai akhir,1
tampilkan isi lengkap dataset,1
tampilkan data mentah semua,1
liat semua baris,1
liatin semua datanya,1
tolong tampilkan seluruh baris,1
tampilkan semua dong,1
cek semua baris dataset,1
tampilkan data dari baris satu sampai habis,1
tampilkan semua row,1
tampilkan seluruh row dataset,1
show all rows,1
show all data,1
tampilkan semua isi csv,1
muat seluruh isi file,1
tampilkan data tanpa limit,1
tampilkan semua baris yang tersimpan,1
tampilkan detail semua baris,1
tampilkan koleksi data lengkap,1
tampilkan semua record dataset,1
tampilkan seluruh tabel data,1
display all rows,1
display all data,1
tampilkan semua baris teks,1
tampilkan seluruh baris mentah,1
tampilkan data secara keseluruhan,1
buka seluruh data,1
tampilkan semua baris di dataset ini,1
tampilkan seluruh baris yang tersaring,1
tampilkan semua baris di tabel,1
tampilkan semua objek data,1
tampilkan setiap baris data,1
tampilkan seluruh row tabel,1
tampilkan semua data yang ada di file,1
tampilkan semua baris secara detail,1
tampilkan semua baris informasi,1
tampilkan dataset lengkap,1
tampilkan semua baris yang tersedia di sistem,1
tampilkan seluruh baris di memori,1
tampilkan data row demi row,1
tampilkan semua baris tanpa limitasi,1
tampilkan data secara total,1
tampilkan semua isi data frame,1
tampilkan seluruh baris dataframe,1
tampilkan semua nilai dataset,1
tampilkan semua baris di layar,1
tampilkan semua baris sekarang,1
tampilkan seluruh baris data ini,1
tampilkan semua baris yang tersimpan sekarang,1
tampilkan semua baris yang terinput,1
tampilkan semua baris yang terbaca,1
tampilkan seluruh baris hasil,1
tampilkan semua baris tabel secara lengkap,1
tampilkan semua baris dataset utama,1
tampilkan semua baris database,1
tampilkan semua baris file ini,1
tampilkan semua baris dokumen ini,1
tampilkan semua baris record,1
tampilkan semua baris entri,1
tampilkan semua baris item,1
tampilkan semua baris nilai,1
tampilkan semua baris teks data,1
tampilkan semua baris mentah dataset,1
tampilkan semua baris fisik,1
tampilkan semua baris secara penuh,1
tampilkan semua baris log,1
tampilkan seluruh baris tanpa sensor,1
tampilkan semua baris aktif,1
tampilkan seluruh baris objek,1
tampilkan semua baris statistik,1
tampilkan semua baris kumpulan data,1
tampilkan semua baris daftar,1
tampilkan semua baris yang terdaftar,1
deskripsikan dataset,2
tampilkan statistik deskriptif,2
berikan ringkasan data,2
tampilkan ringkasan statistik,2
deskripsikan data ini,2
tampilkan deskripsi data,2
statistik data,2
ringkasan statistik dataset,2
tampilkan deskripsi tabel,2
hitung statistik deskriptif,2
tampilkan rangkuman data,2
berikan deskripsi lengkap dataset,2
tampilkan statistik utama,2
jelaskan statistik data,2
tampilkan ringkasan informasi statistik,2
tampilkan nilai statistik dasar,2
tampilkan info statistik,2
berikan ringkasan variabel,2
tampilkan deskripsi kolom,2
statistik deskriptif dataset,2
tampilkan rangkuman statistik tabel,2
tampilkan ringkasan nilai data,2
tampilkan statistik umum,2
tampilkan ringkasan numerik,2
deskripsikan isi dataset secara statistik,2
tampilkan ringkasan dataframe,2
tampilkan statistik ringkas,2
berikan gambaran statistik data,2
tampilkan statistik deskripsi,2
tampilkan analisis statistik dasar,2
deskripsi statistik,2
ringkasan data lengkap,2
tampilkan rata-rata dan standar deviasi,2
hitung ringkasan statistik,2
tampilkan ringkasan distribusi data,2
tampilkan statistik deskriptif tabel ini,2
tampilkan rangkuman angka data,2
berikan statistik deskriptif,2
tampilkan nilai min max dan mean,2
tampilkan deskripsi variabel dataset,2
statistik deskriptif dataframe,2
tampilkan ringkasan statistik data mentah,2
tampilkan gambaran umum statistik,2
tampilkan data describe,2
tampilkan output describe,2
jalankan fungsi describe,2
tampilkan statistik deskriptif lengkap,2
berikan ringkasan statistik secara detail,2
tampilkan ringkasan statistik kolom,2
tampilkan statistik deskriptif tiap kolom,2
describe dataset ini,2
tampilkan rangkuman deskriptif,2
tampilkan profil statistik data,2
tampilkan ringkasan data statistik,2
tampilkan statistik deskripsi dataset,2
tampilkan nilai statistik tabel,2
berikan ringkasan statistik variabel,2
tampilkan data secara deskriptif,2
tampilkan rangkuman statistik numerik,2
tampilkan statistik agregat dasar,2
tampilkan statistik ringkasan,2
tampilkan deskripsi dataset utama,2
tampilkan ringkasan statistik database,2
tampilkan ringkasan statistik file ini,2
tampilkan hasil deskripsi data,2
tampilkan ringkasan statistik record,2
tampilkan ringkasan statistik entri,2
tampilkan ringkasan statistik item,2
tampilkan ringkasan statistik nilai,2
tampilkan ringkasan statistik fisik,2
tampilkan ringkasan statistik penuh,2
tampilkan ringkasan statistik log,2
tampilkan ringkasan statistik aktif,2
tampilkan ringkasan statistik objek,2
tampilkan statistik deskriptif kumpulan data,2
tampilkan ringkasan statistik daftar,2
cek statistik data,2
cek deskripsi data,2
tampilkan ringkasan statistik tabel csv,2
tampilkan statistik deskriptif file csv,2
tampilkan statistik deskriptif dataframe ini,2
tampilkan statistik deskriptif secara otomatis,2
tampilkan profil data statistik,2
tampilkan ringkasan statistik dari tabel,2
tampilkan ringkasan statistik yang tersedia,2
tampilkan statistik deskriptif secara keseluruhan,2
tampilkan statistik deskriptif per variabel,2
tampilkan ringkasan statistik dari dataset,2
tampilkan statistik deskriptif dari data frame,2
tampilkan ringkasan statistik semua kolom,2
tampilkan ringkasan statistik kolom numerik,2
tampilkan statistik deskriptif ringkas,2
tampilkan ringkasan statistik dasar dataset,2
tampilkan statistik deskriptif untuk semua data,2
tampilkan deskripsi ringkas,2
tampilkan statistik dataset secara detail,2
tampilkan deskripsi data secara statistik,2
tampilkan ringkasan angka statistik,2
tampilkan statistik deskriptif mentah,2
tampilkan statistik deskriptif utama,2
tampilkan info dataset,3
tampilkan struktur data,3
lihat info tabel,3
tampilkan informasi dataset,3
tampilkan skema data,3
berikan informasi struktur tabel,3
tampilkan tipe data setiap kolom,3
cek metadata dataset,3
tampilkan ringkasan struktur,3
tampilkan info kolom,3
tampilkan detail struktur data,3
tampilkan informasi kolom dataset,3
tampilkan daftar kolom dan tipe datanya,3
tampilkan informasi memori dataset,3
tampilkan jumlah baris dan kolom,3
tampilkan skema dataset ini,3
tampilkan info dataframe,3
tampilkan struktur tabel secara detail,3
cek tipe data,3
tampilkan informasi teknis dataset,3
tampilkan struktur kolom,3
tampilkan info variabel,3
tampilkan deskripsi struktur,3
tampilkan informasi tipe data,3
tampilkan susunan data,3
tampilkan info lengkap dataset,3
lihat struktur data frame,3
tampilkan metadata tabel,3
tampilkan informasi baris dan kolom,3
tampilkan detail kolom,3
tampilkan skema tabel ini,3
tampilkan info data mentah,3
tampilkan informasi dasar dataset,3
tampilkan statistik struktur data,3
tampilkan ringkasan info,3
tampilkan info kolom dan baris,3
tampilkan spek dataset,3
tampilkan spesifikasi data,3
tampilkan profil struktur data,3
tampilkan informasi atribut data,3
tampilkan info tabel lengkap,3
tampilkan struktur database,3
tampilkan info file ini,3
tampilkan metadata file,3
tampilkan info record,3
tampilkan info entri,3
tampilkan info item,3
tampilkan info nilai,3
tampilkan info fisik,3
tampilkan info penuh,3
tampilkan info log,3
tampilkan info aktif,3
tampilkan info objek,3
tampilkan informasi kumpulan data,3
tampilkan info daftar,3
cek info data,3
cek struktur data,3
tampilkan info tabel csv,3
tampilkan informasi file csv,3
tampilkan info dataframe ini,3
tampilkan info secara otomatis,3
tampilkan profil data struktur,3
tampilkan informasi dari tabel,3
tampilkan info yang tersedia,3
tampilkan informasi secara keseluruhan,3
tampilkan informasi per variabel,3
tampilkan info dari dataset,3
tampilkan informasi dari data frame,3
tampilkan info semua kolom,3
tampilkan info penggunaan memori,3
tampilkan informasi ringkas,3
tampilkan informasi dasar dataset,3
tampilkan informasi untuk semua data,3
tampilkan info ringkas,3
tampilkan informasi dataset secara detail,3
tampilkan info data secara struktur,3
tampilkan ringkasan tipe data,3
tampilkan info mentah,3
tampilkan informasi utama,3
tampilkan info dataset sekarang,3
tampilkan info tabel utama,3
tampilkan daftar kolom,3
tampilkan tipe data tabel,3
tampilkan skema database,3
tampilkan ringkasan metadata,3
tampilkan info atribut,3
tampilkan informasi teknis,3
tampilkan struktur data lengkap,3
tampilkan informasi kolom dan tipe,3
tampilkan rincian kolom,3
tampilkan info baris dataset,3
tampilkan info kolom database,3
tampilkan info skema,3
tampilkan informasi field,3
tampilkan tipe field data,3
tampilkan struktur field,3
tampilkan info tabel data,3
tampilkan informasi tabel secara teknis,3
tampilkan informasi kerangka data,3
tampilkan info dataset anda,3
hapus nilai kosong,4
bersihkan data dari nan,4
hilangkan baris yang kosong,4
buang data null,4
dropna dataset,4
hapus baris dengan missing values,4
bersihkan dataset dari nilai null,4
tampilkan data tanpa nilai kosong,4
hilangkan data yang tidak ada isinya,4
hapus semua nan,4
buang baris yang ada missing value,4
bersihkan tabel dari baris kosong,4
buang data yang kosong,4
hapus baris null,4
jalankan dropna,4
eksekusi penghapusan nilai kosong,4
tampilkan data yang sudah bersih,4
hilangkan baris dengan nilai nan,4
hapus baris yang contains null,4
buang missing data,4
bersihkan baris yang tidak lengkap,4
hapus baris yang isinya kosong,4
hilangkan baris tanpa data,4
buang baris kosong dataset,4
filter data yang kosong,4
hapus baris yang ada nan nya,4
tampilkan data bersih dari null,4
bersihkan dataframe dari missing values,4
dropna tabel ini,4
hapus baris yang tidak valid,4
buang baris yang tidak punya nilai,4
bersihkan semua kolom dari null,4
hapus baris yang ada kolom kosongnya,4
hilangkan baris yang tidak lengkap isinya,4
buang baris data yang cacat,4
hapus data yang bolong,4
bersihkan dataset ini dari nan,4
hapus baris yang isinya nan,4
buang data yang isinya null,4
bersihkan baris yang ada null,4
hilangkan nilai missing,4
hapus baris yang ada data kosongnya,4
buang row yang kosong,4
hapus row yang ada nan,4
bersihkan row dari null,4
hilangkan row tanpa isi,4
dropna semua kolom,4
hapus baris yang ada nilai missingnya,4
buang baris yang isinya tidak lengkap,4
bersihkan data dari nilai yang hilang,4
hapus nilai yang hilang,4
hilangkan data yang kosong di tabel,4
buang baris dengan nilai null,4
hapus baris yang tidak terisi,4
bersihkan tabel dari data nan,4
hapus data yang kosong semua,4
buang baris yang isinya cuma nan,4
hilangkan baris yang ada null-nya,4
hapus baris yang ada missing-nya,4
bersihkan data yang corrupt,4
hapus baris yang ada data null,4
hilangkan baris yang ada nilai kosong,4
buang baris yang ada data nan,4
hapus baris yang ada missing value,4
bersihkan baris yang ada data kosong,4
hilangkan baris yang ada data null,4
buang baris yang ada data missing,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
bersihkan baris yang ada data null,4
hilangkan baris yang ada data missing,4
buang baris yang ada data kosong,4
hapus baris yang ada data nan,4
tampilkan baris awal,5
lihat beberapa baris pertama,5
tampilkan data bagian atas,5
tampilkan head dataset,5
lihat data teratas,5
munculkan baris paling atas,5
tampilkan awal dataset,5
lihat baris awal tabel,5
tampilkan data awal,5
tampilkan bagian depan dataset,5
lihat record pertama,5
tampilkan entri awal,5
tampilkan baris pertama sampai lima,5
tampilkan 5 baris pertama,5
tampilkan data head,5
buka bagian atas tabel,5
tampilkan baris paling depan,5
tampilkan data pembuka,5
lihat potongan awal data,5
tampilkan baris teratas dataset,5
tampilkan awal dataframe,5
preview baris atas,5
lihat sampel awal data,5
tampilkan data terdepan,5
tampilkan baris awal saja,5
tampilkan bagian kepala data,5
lihat baris pertama dataset,5
tampilkan entri teratas,5
tampilkan record teratas,5
tampilkan data paling atas,5
lihat data awal dataset,3
tampilkan awal dari tabel,5
preview data teratas,5
tampilkan baris pembuka tabel,5
tampilkan row pertama,5
tampilkan row teratas,5
tampilkan row awal,5
tampilkan head data frame,5
lihat data bagian awal,5
tampilkan beberapa baris di atas,5
tampilkan data paling depan tabel,5
tampilkan awal isi dataset,5
lihat baris pertama tabel ini,5
tampilkan sampel data atas,5
tampilkan ringkasan baris awal,5
tampilkan row paling atas,5
tampilkan data pembuka dataset,5
lihat data awal sekali,5
tampilkan baris teratas tabel,5
tampilkan record paling atas,5
tampilkan data awal di file,5
tampilkan head dari csv,5
tampilkan baris teratas dataframe,5
tampilkan data bagian paling atas,5
lihat baris awal record,5
tampilkan awal data mentah,5
tampilkan beberapa baris teratas,5
tampilkan data paling atas sekali,5
tampilkan awal tabel dataset,5
tampilkan bagian atas tabel data,5
tampilkan data head csv,5
tampilkan data pembuka tabel,5
tampilkan baris paling atas di tabel,5
tampilkan baris terawal,5
tampilkan baris terdepan,5
tampilkan awal data yang ada,5
tampilkan bagian atas dari dataset,5
tampilkan beberapa data awal,5
tampilkan data awal tabel ini,5
tampilkan baris teratas di sistem,5
tampilkan baris awal di memori,5
tampilkan data head sekarang,5
tampilkan row awal dataset,5
tampilkan head tabel ini,5
tampilkan beberapa baris pertama tabel,5
tampilkan bagian paling atas dataset,5
tampilkan baris awal data frame,5
tampilkan data pertama,5
tampilkan record awal,5
tampilkan sampel data teratas,5
tampilkan bagian teratas tabel,5
tampilkan baris awal mentah,5
tampilkan row paling depan,5
tampilkan data pembuka awal,5
tampilkan baris awal utama,5
tampilkan head tabel utama,5
tampilkan awal file ini,5
tampilkan awal dokumen ini,5
tampilkan record awal dataset,5
tampilkan entri awal tabel,5
tampilkan item paling atas,5
tampilkan nilai paling atas,5
tampilkan teks data teratas,5
tampilkan mentah bagian atas,5
tampilkan awal fisik data,5
tampilkan pembuka data penuh,5
tampilkan log paling atas,5
tampilkan data aktif teratas,5
tampilkan objek paling atas,5
tampilkan awal kumpulan data,5
tampilkan baris akhir,6
lihat beberapa baris terakhir,6
tampilkan data bagian bawah,6
tampilkan tail dataset,6
lihat data terbawah,6
munculkan baris paling bawah,6
tampilkan akhir dataset,6
lihat baris akhir tabel,6
tampilkan data akhir,6
tampilkan bagian belakang dataset,6
lihat record terakhir,6
tampilkan entri akhir,6
tampilkan baris terakhir sampai habis,6
tampilkan 5 baris terakhir,6
tampilkan data tail,6
buka bagian bawah tabel,6
tampilkan baris paling belakang,6
tampilkan data penutup,6
lihat potongan akhir data,6
tampilkan baris terbawah dataset,6
tampilkan akhir dataframe,6
preview baris bawah,6
lihat sampel akhir data,6
tampilkan data terbelakang,6
tampilkan baris akhir saja,6
tampilkan bagian ekor data,6
lihat baris terakhir dataset,6
tampilkan entri terbawah,6
tampilkan record terbawah,6
tampilkan data paling bawah,6
lihat data akhir dataset,6
tampilkan akhir dari tabel,6
preview data terbawah,6
tampilkan baris penutup tabel,6
tampilkan row terakhir,6
tampilkan row terbawah,6
tampilkan row akhir,6
tampilkan tail data frame,6
lihat data bagian akhir,6
tampilkan beberapa baris di bawah,6
tampilkan data paling belakang tabel,6
tampilkan akhir isi dataset,6
lihat baris terakhir tabel ini,6
tampilkan sampel data bawah,6
tampilkan ringkasan baris akhir,6
tampilkan row paling bawah,6
tampilkan data penutup dataset,6
lihat data paling akhir sekali,6
tampilkan baris terbawah tabel,6
tampilkan record paling bawah,6
tampilkan data akhir di file,6
tampilkan tail dari csv,6
tampilkan baris terbawah dataframe,6
tampilkan data bagian paling bawah,6
lihat baris akhir record,6
tampilkan akhir data mentah,6
tampilkan beberapa baris terbawah,6
tampilkan data paling bawah sekali,6
tampilkan akhir tabel dataset,6
tampilkan bagian bawah tabel data,6
tampilkan data tail csv,6
tampilkan data penutup tabel,6
tampilkan baris paling bawah di tabel,6
tampilkan baris terkahir,6
tampilkan baris paling belakang sekali,6
tampilkan akhir data yang ada,6
tampilkan bagian bawah dari dataset,6
tampilkan beberapa data akhir,6
tampilkan data akhir tabel ini,6
tampilkan baris terbawah di sistem,6
tampilkan baris akhir di memori,6
tampilkan data tail sekarang,6
tampilkan row akhir dataset,6
tampilkan tail tabel ini,6
tampilkan beberapa baris terakhir tabel,6
tampilkan bagian paling bawah dataset,6
tampilkan baris akhir data frame,6
tampilkan data terakhir,6
tampilkan record akhir,6
tampilkan sampel data terbawah,6
tampilkan bagian terbawah tabel,6
tampilkan baris akhir mentah,6
tampilkan row paling belakang,6
tampilkan data penutup akhir,6
tampilkan baris akhir utama,6
tampilkan tail tabel utama,6
tampilkan akhir file ini,6
tampilkan akhir dokumen ini,6
tampilkan record terakhir dataset,6
tampilkan entri terakhir tabel,6
tampilkan item paling bawah,6
tampilkan nilai paling bawah,6
tampilkan teks data terbawah,6
tampilkan mentah bagian bawah,6
tampilkan akhir fisik data,6
tampilkan penutup data penuh,6
tampilkan log paling bawah,6
tampilkan data aktif terbawah,6
tampilkan objek paling bawah,6
tampilkan akhir kumpulan data,6
tampilkan kolom index 0,7
tolong muat kolom 1,7
munculkan kolom dengan index 0,7
lihat kolom index 2,7
tampilkan kolom ke 0,7
buka kolom index 3,7
tampilkan kolom nomor 0,7
ambil data kolom index 1,7
tampilkan isi kolom 0,7
tampilkan hanya kolom index 4,7
tampilkan kolom dengan urutan 0,7
lihat data di kolom index 0,7
tampilkan kolom index ke 5,7
muat kolom nomor 2,7
tampilkan kolom 0 saja,7
munculkan kolom index 1 sekarang,7
tampilkan data kolom 0,7
tampilkan kolom index pertama,7
tampilkan kolom index kedua,7
lihat kolom dengan index 1,7
tampilkan kolom 0 dari dataset,7
tampilkan kolom index 10,7
tampilkan kolom urutan ke 0,7
pilih kolom index 0,7
pilihkan kolom nomor 1,7
tampilkan kolom dengan posisi 0,7
ambil kolom index 0,7
tampilkan kolom ke-0,7
tampilkan kolom index 6,7
tampilkan kolom 2,7
tampilkan kolom 3,7
tampilkan kolom 4,7
tampilkan kolom 5,7
tampilkan kolom 10,7
lihat kolom 0,7
lihat kolom 1,7
lihat kolom 5,7
muat kolom 0,7
muat kolom 1,7
muat kolom 2,7
munculkan kolom 0,7
munculkan kolom 3,7
tampilkan data kolom index 0,7
tampilkan data kolom index 1,7
tampilkan data kolom index 2,7
tampilkan data kolom index 3,7
tampilkan data kolom index 4,7
tampilkan data kolom index 5,7
tampilkan data kolom index 6,7
tampilkan data kolom index 7,7
tampilkan data kolom index 8,7
tampilkan data kolom index 9,7
tampilkan kolom urutan 1,7
tampilkan kolom urutan 2,7
tampilkan kolom urutan 3,7
tampilkan kolom urutan 4,7
tampilkan kolom urutan 5,7
tampilkan kolom urutan 0 saja,7
tampilkan kolom urutan 1 saja,7
tampilkan kolom urutan 2 saja,7
tampilkan kolom urutan 3 saja,7
tampilkan kolom urutan 4 saja,7
tampilkan kolom urutan 5 saja,7
tampilkan kolom urutan 6 saja,7
tampilkan kolom urutan 7 saja,7
tampilkan kolom urutan 8 saja,7
tampilkan kolom urutan 9 saja,7
tampilkan kolom urutan 10 saja,7
tampilkan kolom index 0 dataset,7
tampilkan kolom index 1 dataset,7
tampilkan kolom index 2 dataset,7
tampilkan kolom index 3 dataset,7
tampilkan kolom index 4 dataset,7
tampilkan kolom index 5 dataset,7
tampilkan kolom index 6 dataset,7
tampilkan kolom index 7 dataset,7
tampilkan kolom index 8 dataset,7
tampilkan kolom index 9 dataset,7
tampilkan kolom index 10 dataset,7
tampilkan kolom index 11 dataset,7
tampilkan kolom index 12 dataset,7
tampilkan kolom index 13 dataset,7
tampilkan kolom index 14 dataset,7
tampilkan kolom index 15 dataset,7
tampilkan kolom index 16 dataset,7
tampilkan kolom index 17 dataset,7
tampilkan kolom index 18 dataset,7
tampilkan kolom index 19 dataset,7
tampilkan kolom index 20 dataset,7
lihat kolom index 0 saja,7
lihat kolom index 1 saja,7
lihat kolom index 2 saja,7
lihat kolom index 3 saja,7
lihat kolom index 4 saja,7
lihat kolom index 5 saja,7
lihat kolom index 6 saja,7
lihat kolom index 7 saja,7
lihat kolom index 8 saja,7
lihat kolom index 9 saja,7
lihat kolom index 10 saja,7
berapa nilai rata rata untuk kolom dengan index 0,8
munculkan mean dari kolom index ke 1,8
hitung rata rata kolom index 2,8
tampilkan mean kolom 0,8
berapa rata-rata kolom index 3,8
cari nilai mean kolom index 0,8
tampilkan rata-rata untuk kolom 1,8
hitung mean pada kolom index 0,8
berikan nilai rata-rata dari kolom 2,8
berapa mean kolom index 4,8
rata rata kolom 0 berapa,8
tampilkan mean dari index kolom 0,8
hitunglah rata rata kolom ke 0,8
output mean untuk kolom index 1,8
cari mean kolom 0,8
tampilkan rata rata variabel index 0,8
berapa mean untuk index 0,8
hitung rata-rata data pada kolom 0,8
nilai rata rata kolom index 0,8
tampilkan nilai mean dari kolom 1,8
berapa rata-rata kolom 0,8
tampilkan mean kolom index 5,8
hitung mean kolom index 6,8
hitung rata rata kolom 7,8
berapa rata rata kolom 8,8
cari mean kolom index 9,8
tampilkan mean kolom index 10,8
berapa nilai rata-rata kolom 0,8
hitung mean kolom 0 saja,8
tampilkan rata-rata kolom ke-0,8
rata rata kolom index 0 adalah,8
tampilkan mean dari kolom nomor 0,8
berapa rata rata kolom nomor 1,8
tampilkan mean kolom urutan 0,8
hitung rata rata kolom urutan 1,8
berikan mean untuk kolom index 0,8
tampilkan rata rata kolom index 11,8
tampilkan rata rata kolom index 12,8
tampilkan rata rata kolom index 13,8
tampilkan rata rata kolom index 14,8
tampilkan rata rata kolom index 15,8
tampilkan rata rata kolom index 16,8
tampilkan rata rata kolom index 17,8
tampilkan rata rata kolom index 18,8
tampilkan rata rata kolom index 19,8
tampilkan rata rata kolom index 20,8
hitunglah mean kolom 0,8
hitunglah mean kolom 1,8
hitunglah mean kolom 2,8
